"id","repository_name","home_page","oai_pmh"
2696,American Memory,http://memory.loc.gov/ammem/index.html,http://memory.loc.gov/cgi-bin/oai2_0
2697,Statistics Norway's Open Research Repository,http://brage.bibsys.no/ssb/,http://brage.bibsys.no/ssb/request
2698,Theses@asb,http://pure.au.dk/portal-asb-student/en/,
2699,DSpace @ GGSIPU,http://14.139.60.216:8080/xmlui/,http://14.139.60.216:8080/oai/request
2700,Biblioteca Digital por la Identidad,http://conadi.jus.gov.ar/gsdl/cgi-bin/library,
2701,Digital Repository of Luhansk Taras Shevchenko National University,http://dspace.luguniv.edu.ua/jspui/,
2702,Scholarly Commons,http://aut.researchgateway.ac.nz/,http://aut.researchgateway.ac.nz/dspace-oai/request
2703,Repositorio da Universidade da Coruña,http://ruc.udc.es,http://ruc.udc.es/oai/request
2704,DSpace at IUCAA: Home,http://www.iucaa.ernet.in:8080/jspui/,http://www.iucaa.ernet.in:8080/oai
2705,DSpace at IUCAA: Home,http://www.iucaa.ernet.in:8080/jspui/,http://www.iucaa.ernet.in:8080/oai
2706,Archivo gráfico institucional de la Universidad de Las Palmas de Gran Canaria (ULPGC),http://archivografico.ulpgc.es,http://bibmdc2.ulpgc.es/cgi-bin/oai.exe
2707,武庫川女子大学リポジトリ（学術成果コレクション）　Mukogawa Women's University Repository,http://libir.mukogawa-u.ac.jp/dspace/,http://libir.mukogawa-u.ac.jp/dspace-oai/request
2708,UBT Institutional Repository,http://repository.borneo.ac.id,http://repository.borneo.ac.id/oai
2709,Repositorio Institucional Unilibre,http://repository.unilibre.edu.co,http://repository.unilibre.edu.co/oai/
2710,Welcome to UNIB Scholar Repository - UNIB Scholar Repository,http://repository.unib.ac.id,
2711,Biblioteca Digital Real Academia de la Historia,http://bibliotecadigital.rah.es/dgbrah/i18n/estaticos/contenido.cmd?pagina=estaticos/presentacion,http://bibliotecadigital.rah.es/dgbrah/i18n/oai/oai_bibliotecadigital.rah.es.cmd
2712,Repositorio Digital Universidad Don Bosco,http://rd.udb.edu.sv:8080/jspui/?locale=es,
2713,SWPS's and WSNHiD's Repository (Repozytorium SWPS i WSNHiD),http://www.swps.pl/biblioteka/biblioteka-w-warszawie/repozytorium-swps,
2714,Welcome to Open Access Repository of ICRISAT - OAR@ICRISAT,http://oar.icrisat.org,http://oar.icrisat.org/cgi/oai2
2715,Welcome to Cardinal Scholar - Cardinal Scholar,http://cardinalscholar.bsu.edu,http://cardinalscholar.bsu.edu/oai/request
2716,Repositorio Digital San Andrés: Página de inicio,http://repositorio.udesa.edu.ar/,http://repositorio.udesa.edu.ar/oai/request
2717,ETD | Electronic Theses and Dissertations of UAS Dharwad,http://etd.uasd.edu/,
2718,UNL/publicaciones: Página de inicio,http://bibliotecavirtual.unl.edu.ar:8180/publicaciones,http://bibliotecavirtual.unl.edu.ar:8180/publicaciones-oai/request
2719,GLIM Institution Repository,https://glim-re.repo.nii.ac.jp/,http://glim-re.repo.nii.ac.jp/oai
2720,Repositório Institucional da Universidade Tecnológica Federal do Paraná,http://riut.utfpr.edu.br/jspui/,
2721,S@L: Scholarship at Lesley,http://ir.flo.org/lesley,
2722,Open Archive of Northern State Medical University (Arkhangelsk),http://oa.lib.nsmu.ru/,
2723,University of Essex Research Repository,http://repository.essex.ac.uk/,http://endeavour.essex.ac.uk/cgi/oai2
2724,Open Knowledge Environment of the Caribbean,http://okcarib.net/,
2725,UTeM Repository,http://eprints.utem.edu.my/,http://eprints.utem.edu.my/cgi/oai2
2726,Home | Skemman,http://www.skemman.is/en,
2727,UNL/tesis: Página de inicio,http://bibliotecavirtual.unl.edu.ar:8180/tesis,http://bibliotecavirtual.unl.edu.ar:8180/tesis-oai/request
2728,Universiti Teknologi MARA Institutional Repository,http://ir.uitm.edu.my/,http://ir.uitm.edu.my/cgi/oai2
2729,edoc - University of Basel,http://edoc.unibas.ch/,http://edoc.unibas.ch/cgi/oai2
2730,Yanka Kupala State University Publications,http://www.elib.grsu.by/,
2731,Welcome to eThesis - eThesis,http://etd.uum.edu.my,http://etd.uum.edu.my/cgi/oai2
2732,CemOA,http://cemoa.irstea.fr/,http://cemadoc.irstea.fr/oai/serveur/oai2.php
2733,eKMAIR: Electronic Kyiv-Mohyla Academy Institutional Repository,http://www.ekmair.ukma.edu.ua,http://ekmair.ukma.edu.ua/oai/request
